Date,Phone_hrs,Laptop_hrs,Total_hrs,Purpose,Productivity,,,,,,,,,,,,,,,,,
1-Sep,3.2,8.2,11.4,studying,10,,,,,,,,,,,,,,,,,Weekday
2-Sep,2.0,4.5,6.5,studying,8,,,,,,,,,,,,,,,,,Weekday
3-Sep,5.2,7.5,12.6,studying,7,,,,,,,,,,,,,,,,,Weekday
4-Sep,2.6,6.5,9.1,studying,10,,,,,,,,,,,,,,,,,Weekday
5-Sep,3.0,4.6,7.6,work,9,,,,,,,,,,,,,,,,,Weekday
6-Sep,6.8,1.5,8.3,entertainment,8,,,,,,,,,,,,,,,,,Weekend
7-Sep,8.6,1.2,9.8,social media,7,,,,,,,,,,,,,,,,,Weekend
8-Sep,6.3,2.7,9.0,studying,7,,,,,,,,,,,,,,,,,Weekday
9-Sep,2.9,6.1,9.0,studying,9,,,,,,,,,,,,,,,,,Weekday
10-Sep,2.7,7.8,10.5,studying,10,,,,,,,,,,,,,,,,,Weekday
11-Sep,3.9,5.8,9.8,studying,10,,,,,,,,,,,,,,,,,Weekday
12-Sep,6.0,2.7,8.7,work,8,,,,,,,,,,,,,,,,,Weekday
13-Sep,4.3,0.0,4.3,entertainment,6,,,,,,,,,,,,,,,,,Weekend
14-Sep,9.7,2.4,12.1,entertainment,5,,,,,,,,,,,,,,,,,Weekend
15-Sep,5.5,4.9,10.5,work,8,,,,,,,,,,,,,,,,,Weekday
16-Sep,4.3,7.2,11.5,studying,8,,,,,,,,,,,,,,,,,Weekday
17-Sep,3.1,8.5,11.6,studying,7,,,,,,,,,,,,,,,,,Weekday
18-Sep,6.5,8.8,15.3,studying,9,,,,,,,,,,,,,,,,,Weekday
19-Sep,3.1,2.4,5.5,work,7,,,,,,,,,,,,,,,,,Weekday
20-Sep,3.1,0.3,3.4,gaming,5,,,,,,,,,,,,,,,,,Weekend
21-Sep,4.3,2.3,6.7,gaming,6,,,,,,,,,,,,,,,,,Weekend
22-Sep,3.4,3.0,6.3,studying,8,,,,,,,,,,,,,,,,,Weekday
23-Sep,6.2,8.5,14.7,studying,9,,,,,,,,,,,,,,,,,Weekday
24-Sep,4.0,6.0,9.9,studying,7,,,,,,,,,,,,,,,,,Weekday
25-Sep,7.0,2.7,9.7,studying,8,,,,,,,,,,,,,,,,,Weekday
26-Sep,4.4,5.1,9.5,studying,10,,,,,,,,,,,,,,,,,Weekday
27-Sep,8.8,4.7,13.6,social media,4,,,,,,,,,,,,,,,,,Weekend
28-Sep,9.5,3.1,12.5,social media,8,,,,,,,,,,,,,,,,,Weekend
29-Sep,6.1,4.8,10.9,work,9,,,,,,,,,,,,,,,,,Weekday
30-Sep,5.8,7.3,13.1,work,7,,,,,,,,,,,,,,,,,Weekday
1-Oct,3.1,2.7,5.9,work,6,,,,,,,,,,,,,,,,,Weekday
2-Oct,2.9,4.1,7.0,work,7,,,,,,,,,,,,,,,,,Weekday
3-Oct,4.1,4.5,8.6,work,6,,,,,,,,,,,,,,,,,Weekday
4-Oct,7.6,3.0,10.6,work,7,,,,,,,,,,,,,,,,,Weekend
5-Oct,4.1,1.0,5.0,entertainment,8,,,,,,,,,,,,,,,,,Weekend
6-Oct,6.0,4.9,10.9,studying,8,,,,,,,,,,,,,,,,,Weekday
7-Oct,2.9,6.4,9.3,entertainment,8,,,,,,,,,,,,,,,,,Weekday
8-Oct,3.1,7.6,10.7,studying,7,,,,,,,,,,,,,,,,,Weekday
9-Oct,2.2,6.3,8.5,studying,7,,,,,,,,,,,,,,,,,Weekday
10-Oct,2.5,8.3,10.9,studying,10,,,,,,,,,,,,,,,,,Weekday
11-Oct,8.3,2.1,10.3,social media,4,,,,,,,,,,,,,,,,,Weekend
12-Oct,3.2,2.8,5.9,gaming,3,,,,,,,,,,,,,,,,,Weekend
13-Oct,4.0,7.7,11.7,entertainment,7,,,,,,,,,,,,,,,,,Weekday
14-Oct,2.0,6.4,8.4,studying,9,,,,,,,,,,,,,,,,,Weekday
15-Oct,4.8,5.6,10.3,studying,8,,,,,,,,,,,,,,,,,Weekday
16-Oct,3.6,6.7,10.4,entertainment,4,,,,,,,,,,,,,,,,,Weekday
17-Oct,6.8,6.6,13.4,studying,7,,,,,,,,,,,,,,,,,Weekday
18-Oct,8.5,3.2,11.6,work,6,,,,,,,,,,,,,,,,,Weekend
19-Oct,9.5,3.8,13.3,work,9,,,,,,,,,,,,,,,,,Weekend
20-Oct,6.4,3.1,9.5,studying,7,,,,,,,,,,,,,,,,,Weekday
21-Oct,5.3,8.4,13.8,studying,8,,,,,,,,,,,,,,,,,Weekday
22-Oct,2.6,8.9,11.5,studying,8,,,,,,,,,,,,,,,,,Weekday
23-Oct,4.7,7.1,11.8,entertainment,8,,,,,,,,,,,,,,,,,Weekday
24-Oct,3.8,5.4,9.1,studying,7,,,,,,,,,,,,,,,,,Weekday
25-Oct,10.4,1.8,12.2,gaming,6,,,,,,,,,,,,,,,,,Weekend
26-Oct,5.8,0.0,5.8,gaming,4,,,,,,,,,,,,,,,,,Weekend
27-Oct,4.5,7.9,12.5,studying,10,,,,,,,,,,,,,,,,,Weekday
28-Oct,4.6,3.6,8.2,studying,9,,,,,,,,,,,,,,,,,Weekday
29-Oct,5.8,3.7,9.4,studying,10,,,,,,,,,,,,,,,,,Weekday
30-Oct,5.6,4.6,10.2,studying,8,,,,,,,,,,,,,,,,,Weekday
31-Oct,5.5,5.0,10.5,studying,8,,,,,,,,,,,,,,,,,Weekday
1-Nov,3.6,1.0,4.5,entertainment,5,,,,,,,,,,,,,,,,,Weekend
2-Nov,3.0,5.0,8.0,entertainment,7,,,,,,,,,,,,,,,,,Weekend
3-Nov,3.3,2.1,5.5,work,8,,,,,,,,,,,,,,,,,Weekday
4-Nov,4.9,4.4,9.4,gaming,3,,,,,,,,,,,,,,,,,Weekday
5-Nov,6.7,4.9,11.6,studying,10,,,,,,,,,,,,,,,,,Weekday
6-Nov,4.9,2.6,7.6,studying,9,,,,,,,,,,,,,,,,,Weekday
7-Nov,2.2,2.8,4.9,studying,8,,,,,,,,,,,,,,,,,Weekday
8-Nov,3.3,2.3,5.6,gaming,5,,,,,,,,,,,,,,,,,Weekend
9-Nov,9.9,2.3,12.2,social media,6,,,,,,,,,,,,,,,,,Weekend
10-Nov,5.8,7.8,13.6,studying,7,,,,,,,,,,,,,,,,,Weekday
11-Nov,3.0,3.7,6.7,studying,10,,,,,,,,,,,,,,,,,Weekday
12-Nov,3.8,4.6,8.4,studying,8,,,,,,,,,,,,,,,,,Weekday
13-Nov,3.4,3.8,7.2,studying,10,,,,,,,,,,,,,,,,,Weekday
14-Nov,2.3,3.5,5.8,studying,7,,,,,,,,,,,,,,,,,Weekday
15-Nov,4.4,0.2,4.5,work,8,,,,,,,,,,,,,,,,,Weekend
16-Nov,8.4,0.4,8.8,entertainment,8,,,,,,,,,,,,,,,,,Weekend
17-Nov,3.3,4.4,7.7,studying,8,,,,,,,,,,,,,,,,,Weekday
18-Nov,2.0,8.9,10.9,work,8,,,,,,,,,,,,,,,,,Weekday
19-Nov,6.3,3.5,9.7,studying,10,,,,,,,,,,,,,,,,,Weekday
20-Nov,7.0,4.6,11.5,studying,10,,,,,,,,,,,,,,,,,Weekday
21-Nov,5.6,4.0,9.5,work,8,,,,,,,,,,,,,,,,,Weekday
22-Nov,8.0,3.6,11.6,social media,6,,,,,,,,,,,,,,,,,Weekend
